lat,lng,altitude-meters,distance-meters,distance-miles
30.277844,-97.739148,166.93,1.37,0.0009
30.278001,-97.739046,166.93,21.66,0.0135
30.278183,-97.738956,165.48,43.52,0.0270
30.278300,-97.738920,167.41,56.74,0.0353
30.278479,-97.738862,169.81,77.51,0.0482
30.278692,-97.738813,176.54,101.27,0.0629
30.278905,-97.738753,187.59,125.55,0.0780
30.279042,-97.738708,193.84,141.36,0.0878
30.279166,-97.738572,196.73,159.68,0.0992
30.279295,-97.738492,194.32,176.22,0.1095
30.279420,-97.738452,186.15,190.46,0.1183
30.279577,-97.738412,180.87,208.42,0.1295
30.279749,-97.738346,176.06,228.51,0.1420
30.279926,-97.738291,172.21,248.83,0.1546
30.279987,-97.738271,170.77,255.74,0.1589
30.280190,-97.738207,168.37,278.98,0.1734
30.280359,-97.738146,165.48,298.86,0.1857
30.280551,-97.738058,164.04,321.71,0.1999
30.280563,-97.738034,163.56,324.38,0.2016
30.280506,-97.737898,161.64,339.11,0.2107
30.280471,-97.737798,161.16,349.42,0.2171
30.280414,-97.737662,158.75,363.97,0.2262
30.280357,-97.737488,156.83,381.86,0.2373
30.280304,-97.737347,155.39,396.64,0.2465
30.280246,-97.737181,152.03,413.76,0.2571
30.280202,-97.737018,150.58,430.17,0.2673
30.280150,-97.736866,149.62,445.94,0.2771
30.280108,-97.736697,149.62,462.83,0.2876
30.280070,-97.736524,149.62,480.04,0.2983
30.279993,-97.736312,148.18,502.06,0.3120
30.279942,-97.736135,148.66,519.93,0.3231
30.279884,-97.735924,149.62,541.26,0.3363
30.279788,-97.735895,149.14,553.77,0.3441
30.279648,-97.735959,149.14,570.46,0.3545
30.279501,-97.735986,149.14,587.08,0.3648
30.279321,-97.736041,151.54,607.72,0.3776
30.279176,-97.736103,152.03,624.78,0.3882
30.279002,-97.736178,156.83,645.39,0.4010
30.278902,-97.736218,157.31,657.05,0.4083
30.278737,-97.736279,159.24,676.29,0.4202
30.278593,-97.736363,165.48,694.33,0.4314
30.278460,-97.736436,165.00,710.66,0.4416
30.278273,-97.736520,169.33,732.88,0.4554
30.278086,-97.736585,169.33,754.44,0.4688
30.277941,-97.736608,162.60,770.48,0.4788
30.277784,-97.736657,157.79,788.31,0.4898
30.277638,-97.736671,153.47,804.64,0.5000
30.277466,-97.736706,151.06,823.67,0.5118
30.277313,-97.736757,149.62,841.32,0.5228
30.277170,-97.736827,152.03,858.59,0.5335
30.276952,-97.736896,151.54,883.69,0.5491
30.276808,-97.736962,150.10,900.86,0.5598
30.276668,-97.737037,150.10,917.90,0.5704
30.276525,-97.737093,149.62,934.61,0.5807
30.276316,-97.737191,150.58,959.67,0.5963
30.276149,-97.737240,149.62,978.70,0.6081
30.275988,-97.737312,151.06,997.86,0.6200
30.275845,-97.737354,150.58,1014.32,0.6303
30.275729,-97.737396,153.47,1027.80,0.6386
30.275593,-97.737464,153.95,1044.23,0.6489
30.275418,-97.737536,151.06,1064.81,0.6616
30.275263,-97.737586,156.83,1082.71,0.6728
30.275126,-97.737643,155.87,1098.77,0.6827
30.275005,-97.737685,153.95,1112.79,0.6915
30.274838,-97.737744,154.91,1132.40,0.7036
30.274722,-97.737794,154.91,1146.20,0.7122
30.274580,-97.737844,157.31,1162.60,0.7224
30.274391,-97.737918,161.64,1184.63,0.7361
30.274240,-97.737985,168.85,1202.50,0.7472
30.274089,-97.738055,175.10,1220.33,0.7583
30.273908,-97.738106,172.69,1240.92,0.7711
30.273726,-97.738182,169.81,1262.39,0.7844
