Distance-miles,Lat,Lon,Altitude-meters
0.0008505543,30.27784389,-97.73914807,166.926025
0.013460574,30.27800105,-97.73904598,166.926025
0.0270399992,30.27818302,-97.73895605,165.484131
0.0352575041,30.27830036,-97.73891992,167.406738
0.0481608605,30.27847915,-97.73886183,169.810059
0.062928173,30.27869188,-97.73881288,176.539307
0.0780100968,30.27890545,-97.73875287,187.59436
0.0878370331,30.27904199,-97.73870777,193.843018
0.0992208108,30.27916588,-97.73857165,196.726929
0.1094965573,30.27929513,-97.73849186,194.32373
0.1183491411,30.27942035,-97.73845238,186.152466
0.1295064079,30.27957735,-97.73841223,180.865234
0.1419864499,30.27974909,-97.73834618,176.058594
0.1546172832,30.27992595,-97.73829069,172.213257
0.1589116795,30.27998655,-97.73827082,170.771362
0.173351169,30.28018973,-97.73820704,168.368042
0.1857038194,30.28035854,-97.73814585,165.484131
0.1999040848,30.28055082,-97.73805759,164.042114
0.2015608587,30.28056306,-97.73803362,163.561523
0.2107117453,30.2805064,-97.73789842,161.638916
0.2171224591,30.28047077,-97.73779842,161.158203
0.2261600052,30.28041445,-97.7376618,158.754761
0.237274275,30.28035728,-97.73748754,156.832153
0.2464593507,30.28030397,-97.73734706,155.390259
0.2570961006,30.28024639,-97.73718093,152.025757
0.267294697,30.28020188,-97.73701848,150.583618
0.2770951525,30.28015008,-97.73686619,149.622314
0.287587387,30.28010826,-97.73669662,149.622314
0.298282864,30.28006953,-97.73652378,149.622314
0.3119630767,30.27999317,-97.73631214,148.18042
0.3230713919,30.27994246,-97.73613545,148.661011
0.3363229698,30.27988404,-97.73592372,149.622314
0.3440958724,30.27978824,-97.73589539,149.141602
0.3544668216,30.27964784,-97.73595884,149.141602
0.3647959761,30.27950065,-97.73598592,149.141602
0.3776198693,30.27932094,-97.73604115,151.544922
0.3882190916,30.27917644,-97.7361031,152.025757
0.4010271318,30.27900176,-97.73617795,156.832153
0.4082738182,30.27890227,-97.73621793,157.312866
0.4202276249,30.27873714,-97.73627853,159.235474
0.4314349065,30.27859264,-97.73636327,165.484131
0.441580692,30.27846029,-97.73643594,165.003418
0.4553893576,30.27827295,-97.73651976,169.329468
0.4687900968,30.27808579,-97.73658506,169.329468
0.47875092,30.2779412,-97.73660752,162.600098
0.48983574,30.27778395,-97.73665748,157.793579
0.4999820567,30.27763794,-97.73667055,153.467651
0.5118030099,30.27746595,-97.73670576,151.064209
0.5227696165,30.27731314,-97.73675714,149.622314
0.5335029058,30.27717048,-97.73682713,152.025757
0.5490982783,30.27695188,-97.73689603,151.544922
0.5597706595,30.27680755,-97.73696216,150.103027
0.5703562663,30.27666807,-97.73703676,150.103027
0.5807420066,30.27652524,-97.73709308,149.622314
0.5963111728,30.27631586,-97.73719073,150.583618
0.6081376637,30.27614923,-97.73723968,149.622314
0.6200431911,30.27598788,-97.73731227,151.064209
0.6302666839,30.27584505,-97.73735368,150.583618
0.6386471892,30.27572863,-97.73739592,153.467651
0.6488520272,30.27559343,-97.73746423,153.948364
0.66164262,30.27541799,-97.73753615,151.064209
0.6727659376,30.27526259,-97.73758619,156.832153
0.6827457958,30.27512614,-97.73764268,155.870972
0.6914536393,30.27500527,-97.73768543,153.948364
0.7036411418,30.27483755,-97.73774427,154.909546
0.7122149555,30.27472188,-97.7377944,154.909546
0.722407273,30.27457964,-97.73784393,157.312866
0.7360928325,30.27439088,-97.73791778,161.638916
0.7471955206,30.2742395,-97.73798525,168.848755
0.7582793874,30.27408896,-97.73805549,175.09729
0.7710711234,30.27390833,-97.73810612,172.69397
0.7844126237,30.27372644,-97.7381824,169.810059
0.7975171641,30.27354548,-97.73824962,170.290649
0.8110429816,30.27335848,-97.73831919,166.445312
0.824031394,30.27318338,-97.73839949,168.848755
0.8387680958,30.2729766,-97.7384642,168.368042
0.8487856589,30.2728383,-97.73851574,168.368042
0.8577648178,30.27271458,-97.73856319,173.655273
0.866806934,30.27259229,-97.73861876,175.577881
0.8780729246,30.27244267,-97.73869134,178.942627
0.8902436625,30.27228107,-97.73877106,182.787842
0.891907228,30.27226003,-97.73878514,184.710571
0.8987294901,30.27223572,-97.73888757,179.423218
0.9116871073,30.27229708,-97.73909275,178.461914
0.9236573723,30.27234653,-97.73928512,177.981201
0.9373941328,30.27240084,-97.73950498,173.655273
0.9493675108,30.2724648,-97.73969424,172.69397
0.9638562545,30.27252196,-97.73992742,169.810059
0.9808807698,30.27260335,-97.74019615,165.484131
0.9951778392,30.27265306,-97.74042774,164.522705
1.0124522886,30.27272355,-97.74070526,161.158203
1.0173231351,30.27274115,-97.74078422,160.196899
1.029012677,30.27278549,-97.74097315,158.754761
1.0377918912,30.27281726,-97.74111573,156.832153
1.0492078434,30.2728616,-97.74129996,156.351562
1.0627738575,30.27291784,-97.74151739,156.351562
1.0758331186,30.27296537,-97.74172886,156.351562
1.0893939814,30.27302404,-97.7419452,157.312866
1.1025547248,30.27308129,-97.74215567,158.27417
1.1152753822,30.27313812,-97.74235767,158.754761
1.1305962163,30.27321129,-97.74259983,159.716187
1.1389950395,30.27324247,-97.7427362,159.716187
1.1519956681,30.27330584,-97.74294114,160.67749
1.1647019159,30.27335336,-97.74314633,161.158203
1.177505023,30.27340299,-97.74335286,161.158203
1.1908355995,30.27346392,-97.74356433,162.600098
1.2036972647,30.2735174,-97.74377036,165.964722
1.2166670235,30.27355654,-97.74398242,166.926025
1.2345664788,30.27362536,-97.74427034,165.964722
1.2472111364,30.27365612,-97.74447855,165.003418
1.2585194548,30.27353408,-97.74459614,165.003418
1.2774304586,30.27327952,-97.74471592,169.329468
1.2902318259,30.27311004,-97.74480326,176.058594
1.3027504197,30.27293595,-97.74486353,173.655273
1.3180968853,30.27272455,-97.74494282,172.69397
1.3305217266,30.27255222,-97.74500518,171.732666
1.3431487869,30.27237662,-97.74506746,170.771362
1.3602178296,30.27214092,-97.74514725,169.329468
1.3740624477,30.27194604,-97.74520434,167.887329
1.3869637874,30.27176675,-97.74526485,165.003418
1.4003954734,30.27157833,-97.74532369,165.964722
1.4141197941,30.27138999,-97.74539838,167.887329
1.4283031651,30.27119058,-97.74546736,167.406738
1.4372825477,30.27107022,-97.7455288,175.09729
1.4493480066,30.27091012,-97.7456205,191.439575
1.4603397241,30.27077124,-97.74571672,204.898071
1.4696167496,30.27064844,-97.7457821,207.782104
1.4796645734,30.2705031,-97.74580129,206.820679
1.494254203,30.27029816,-97.74585159,192.881714
1.5170105488,30.26999457,-97.74601386,186.152466
1.5336046093,30.26977035,-97.74612517,186.152466
1.5503989253,30.26953356,-97.74619265,182.787842
1.5642045524,30.26934279,-97.74626389,182.787842
1.5753652641,30.26919016,-97.74631829,185.671753
1.5905961361,30.26898564,-97.74641887,186.633179
1.612862183,30.26867869,-97.74653588,178.942627
1.6274231362,30.26847585,-97.74660202,175.577881
1.6414947039,30.26827066,-97.74665046,173.174683
1.6479371778,30.26817494,-97.74666228,170.290649
1.6678827955,30.26790245,-97.74677628,161.638916
1.6841470571,30.26767395,-97.74684509,158.27417
1.7012573651,30.26744102,-97.74695825,160.196899
1.711399395,30.26729459,-97.74699932,162.600098
1.7227240927,30.26713743,-97.74705456,162.119507
1.7350861321,30.266962,-97.74709554,163.080811
1.7442516588,30.26679737,-97.74721985,169.810059
1.7522474111,30.26667106,-97.74725983,169.810059
1.7573271501,30.26656754,-97.74731213,176.539307
1.7627809855,30.26643142,-97.74743954,190.958984
1.7676242183,30.26634308,-97.74745328,207.301392
1.7759135125,30.26622112,-97.74742068,200.091675
1.7927445328,30.26597285,-97.74739293,190.958984
1.8033345401,30.26583899,-97.74749746,197.688232
1.8189232783,30.26562626,-97.74759829,199.61084
1.8320875138,30.26544839,-97.74769016,200.572266
1.8387083896,30.26534915,-97.74773299,204.41748
1.8555606546,30.26512133,-97.74785,191.439575
1.8675492003,30.2649604,-97.74795637,195.765625
1.8761255182,30.26483207,-97.74794715,196.726929
1.8869081815,30.26467265,-97.74795829,189.997681
1.9008413947,30.26447299,-97.74797673,179.903809
1.9120180322,30.26435489,-97.74785344,162.600098
1.925412554,30.26425858,-97.74765889,146.257812
1.9345521385,30.26420217,-97.74752059,140.489868
1.9456595987,30.26413218,-97.74735295,137.125244
1.9565631747,30.26407326,-97.74718372,137.605835
1.9698775956,30.26399966,-97.74697795,139.047852
1.9780103354,30.26396186,-97.74684895,141.931763
1.9816479965,30.26394292,-97.74679178,143.85437
1.988156311,30.26389288,-97.74670176,154.909546
2.0001113274,30.26384292,-97.74651049,150.103027
2.009360441,30.26379514,-97.74636514,157.312866
2.0199666847,30.26375047,-97.7462074,161.158203
2.0269821373,30.26371862,-97.74608485,165.003418
2.0334825603,30.26368727,-97.74598276,177.50061
2.0413748544,30.26364729,-97.74585863,196.246338
2.0442893515,30.263626,-97.74581596,202.975464
2.0562824519,30.26355995,-97.74562896,207.782104
2.074570115,30.26343665,-97.74535689,165.484131
2.0783717622,30.26340974,-97.74530098,155.870972
2.0955215148,30.26332945,-97.74502957,132.318604
2.102068814,30.26329273,-97.7449279,128.954102
2.1135673651,30.26319492,-97.74477225,124.628052
2.1219190077,30.26308159,-97.74473109,124.628052
2.136858612,30.26288009,-97.74482899,131.837891
2.1491302357,30.26271757,-97.74492128,142.893066
2.164595787,30.26250475,-97.74500292,148.18042
2.1780320277,30.26231926,-97.74507224,150.103027
2.1915111927,30.26213218,-97.74513745,149.141602
2.205419377,30.26193587,-97.74519285,145.7771
2.2193049559,30.26174937,-97.74525488,144.815796
2.2318541957,30.26156983,-97.74532512,146.738403
2.2427195387,30.26142223,-97.74538857,148.18042
2.2561836914,30.26123623,-97.74545738,148.661011
2.2673354492,30.2610836,-97.74551949,148.661011
2.285054533,30.26083658,-97.74560063,147.218994
2.2959570464,30.26069175,-97.74567389,150.583618
2.3095950462,30.26050692,-97.74575486,152.506348
2.3229831928,30.26031816,-97.74580926,152.025757
2.339253227,30.26008992,-97.74588008,147.218994
2.3509781125,30.25993008,-97.74593515,145.7771
2.367186401,30.25970402,-97.7460235,143.85437
2.376346615,30.25957838,-97.74607178,142.412476
2.3930664411,30.25935047,-97.74616976,141.45105
2.4122432301,30.25908669,-97.74627076,139.528442
2.4290681859,30.25885619,-97.74635953,138.086548
2.443338176,30.25866207,-97.74644435,139.047852
2.4567096387,30.25847632,-97.74651485,142.893066
2.4667460853,30.25832964,-97.74655592,141.931763
2.4777778438,30.25818329,-97.74662859,139.528442
2.4893563406,30.2580201,-97.74668223,138.567261
2.5037586205,30.25781818,-97.74674468,137.125244
2.5180786682,30.2576202,-97.74681928,135.683105
2.5325681763,30.25741987,-97.74689413,134.721924
2.5496032362,30.25718467,-97.74698222,134.721924
2.5641438644,30.25698284,-97.74705456,135.202515
2.57851671,30.25678603,-97.74713427,136.16394
2.5926868831,30.25659006,-97.74720619,136.644653
2.6042341248,30.25643114,-97.74726796,137.125244
2.6145856562,30.25628932,-97.74732613,139.047852
2.6247964097,30.25615227,-97.74739117,140.009155
2.6378452007,30.25597248,-97.74745932,142.412476
2.6515563235,30.25578112,-97.74752185,141.45105
2.6627488867,30.25562304,-97.74756602,142.412476
2.6760400993,30.25544182,-97.74764246,142.893066
2.6885709776,30.25526765,-97.74770432,145.296387
2.701272677,30.2550918,-97.74775897,145.296387
2.7152714262,30.25489884,-97.74783215,144.815796
2.7293693897,30.25470472,-97.74790574,144.335205
2.7408495793,30.25454479,-97.74796047,144.815796
2.7541253198,30.25436265,-97.74803155,146.257812
2.7677490592,30.25417238,-97.74810037,147.699707
2.7835940197,30.25395102,-97.74817128,147.699707
2.7954589312,30.25378673,-97.74823054,147.699707
2.8122198671,30.25355464,-97.74831327,149.622314
2.8260854192,30.25336127,-97.74837772,150.583618
2.8402140225,30.25316413,-97.74844293,150.583618
2.8542946933,30.25296908,-97.74851435,149.622314
2.8659135418,30.25281385,-97.74858886,151.064209
2.8779295459,30.25264495,-97.74863974,151.544922
2.8883651177,30.25250179,-97.74869674,151.064209
2.8998055644,30.25234287,-97.74875273,152.986938
2.9110545667,30.25218797,-97.748813,152.986938
2.9245523915,30.25200382,-97.74888986,152.506348
2.9387398572,30.25180835,-97.74896446,152.025757
2.9525586885,30.25161875,-97.74903914,152.506348
2.9676973241,30.25141717,-97.74910963,153.467651
2.9743449064,30.25131759,-97.74914953,153.948364
2.9814688255,30.25121936,-97.74918775,153.948364
2.9945206488,30.25103797,-97.74925053,152.986938
3.0097442383,30.25082608,-97.74932278,152.506348
3.0248261366,30.25061695,-97.74939923,153.948364
3.0378327551,30.25043774,-97.74946829,156.832153
3.0546519446,30.25020448,-97.74955127,158.754761
3.0673430247,30.25002963,-97.74961883,160.196899
3.0780016003,30.24988127,-97.74967005,159.235474
3.0912961498,30.24969527,-97.74972872,158.27417
3.1022666226,30.24954289,-97.74978253,159.235474
3.1133323701,30.24939143,-97.74984523,161.158203
3.1308712315,30.24915238,-97.74994564,161.638916
3.1466130382,30.24893663,-97.75003357,161.638916
3.1649176896,30.24868852,-97.75012049,161.158203
3.1798017682,30.24847738,-97.75020104,162.119507
3.191178804,30.24832098,-97.75026189,160.67749
3.204403269,30.24813842,-97.75033146,162.600098
3.2201711671,30.24792057,-97.75041218,165.003418
3.2354642321,30.24770868,-97.75048795,165.964722
3.2464747584,30.2475589,-97.75055283,167.406738
3.2599792629,30.24737022,-97.75061393,166.926025
3.2755205159,30.24715615,-97.75069515,167.406738
3.2865522745,30.24700837,-97.75076749,170.290649
3.3041912636,30.24676404,-97.75085625,170.290649
3.3172248869,30.24658182,-97.75091459,169.810059
3.3302670044,30.24640328,-97.75098617,172.69397
